"","","","Table 2.","","Values of the LD Model Parameters","","","","","",""
"","","","","","","Metal","","","","",""
"Parameters","Ag","Au","Cu","Al","Be","Cr","Ni","Pd","Pt","Ti","W"
"f0","0.845","0.760","0.575","0.523","0.084","0.168","0.096","0.330","0.333","0.148","0.206"
"G0","0.048","0.053","0.030","0.047","0.035","0.047","0.048","0.008","0.080","0.082","0.064"
"f1","0.065","0.024","0.061","0.227","0.031","0.151","0.100","0.649","0.191","0.899","0.054"
"a","","","","","","","","","","",""
"G1","3.886","0.241","0.378","0.333","1.664","3.175","4.511","2.950","0.517","2.276","0.530"
"a","","","","","","","","","","",""
"v1","0.816","0.415","0.291","0.162","0.100","0.121","0.174","0.336","0.780","0.777","1.004"
"f2","0.124","0.010","0.104","0.050","0.140","0.150","0.135","0.121","0.659","0.393","0.166"
"G2","0.452","0.345","1.056","0.312","3.395","1.305","1.334","0.555","1.838","2.518","1.281"
"v2","4.481","0.830","2.957","1.544","1.032","0.543","0.582","0.501","1.314","1.545","1.917"
"f3","0.011","0.071","0.723","0.166","0.530","1.149","0.106","0.638","0.547","0.187","0.706"
"G3","0.065","0.870","3.213","1.351","4.454","2.676","2.178","4.621","3.668","1.663","3.332"
"v3","8.185","2.969","5.300","1.808","3.183","1.970","1.597","1.659","3.141","2.509","3.580"
"f4","0.840","0.601","0.638","0.030","0.130","0.825","0.729","0.453","3.576","0.001","2.590"
"G4","0.916","2.494","4.305","3.382","1.802","1.335","6.292","3.236","8.517","1.762","5.836"
"v4","9.083","4.304","11.18","3.473","4.604","8.775","6.089","5.715","9.249","19.43","7.498"
"f5","5.646","4.384","—","—","—","—","—","—","—","—","—"
"G5","2.419","2.214","—","—","—","—","—","—","—","—","—"
"v5","20.29","13.32","—","—","—","—","—","—","—","—","—"
